"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","4419","4408","None",2018-05-21,0,1,1,0,11,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"", ""Avocado"")"
"2","4448","4408","Mulberry_734",2018-05-25,0,0,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"3","4424","4419","None",2018-05-06,0,0.67,3,0,19,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"", ""Peach"")"
"4","4453","4419","None",2018-05-11,0,1,1,0,3,"yes","c(""Mulberry"", ""UK"")"
"5","4408","4419","None",2018-05-21,0,0,1,0,3,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"")"
"6","4435","4419","None",2018-05-21,0,0,1,0,2,"yes","c(""UK"", ""Ficus carica"", ""Mulberry"")"
"7","4448","4419","None",2018-05-25,0,0,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"8","4440","4424","None",2018-05-04,0,1,5,0,4,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Avocado"")"
"9","4454","4424","Mulberry_731",2018-05-04,0,1,1,0,1,"yes","c(""Mulberry"", ""Palm"", ""UK"", ""Ficus carica"")"
"10","4449","4424","Mulberry_706",2018-05-09,0,0,2,0,8,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Plum"")"
"11","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,5,"yes","c(""Ficus carica"", ""Carob"", ""Ficus benjamina"", ""Mulberry"", ""UK"", ""Palm"", ""Annona"", ""Loquat"")"
"12","4440","4429","Ficus carica_733",2018-04-18,0,0.33,3,0,3,"yes","c(""Mulberry"", ""Ficus carica"", ""Carob"", ""Plum"", ""UK"", ""Avocado"")"
"13","4449","4429","Mulberry_755",2018-05-05,0,0,2,0,2,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"14","4455","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"yes","c(""Mulberry"", ""UK"", ""Loquat"")"
"15","4446","4432","Mulberry_655",2018-06-11,0,1,1,0,3,"yes","c(""Mulberry"", ""Washingtonia"", ""UK"")"
"16","4439","4432","Mulberry_655",2018-06-11,0,1,1,0,11,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"", ""Maish"")"
"17","4419","4435","None",2018-05-21,0,1,1,0,11,"no","c(""Ficus carica"", ""Mulberry"", ""UK"", ""Avocado"")"
"18","4432","4439","Mulberry_655",2018-06-11,0,0,1,0,2,"yes","Mulberry"
"19","4455","4439","Mulberry_655",2018-06-07,0,0,1,0,3,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"20","4446","4439","Mulberry_655",2018-06-07,0,0,1,0,1,"yes","c(""Mulberry"", ""UK"")"
"21","4445","4440","None",2018-04-19,0,0.75,4,0,13,"yes","c(""UK"", ""Palm"", ""Mulberry"", ""Ficus carica"", ""Loquat"", ""Melia azedarach"", ""Washingtonia"", ""Carob"", ""Annona"", ""Banana"", ""Cherry plum"", ""Ficus sycomorus"")"
"22","4444","4440","None",2018-04-18,0,0.83,6,0,7,"yes","c(""Ficus carica"", ""Carob"", ""Melia azedarach"", ""Mulberry"", ""Washingtonia"", ""Citrus"", ""Annona"")"
"23","4429","4440","Ficus carica_733",2018-04-18,0,0.67,3,0,3,"yes","c(""Palm"", ""Mulberry"", ""Ficus carica"", ""Carob"", ""UK"")"
"24","4454","4440","None",2018-05-04,0,0,2,0,1,"yes","c(""Mulberry"", ""Palm"", ""UK"", ""Ficus carica"")"
"25","4424","4440","None",2018-05-04,0,0,5,0,9,"yes","c(""UK"", ""Mulberry"", ""Ficus carica"", ""Einan"")"
"26","4449","4440","None",2018-05-05,0,0,3,0,2,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"")"
"27","4453","4440","None",2018-05-04,0,0,1,0,1,"yes","c(""Mulberry"", ""UK"")"
"28","4419","4440","None",2018-05-11,0,0,1,0,6,"yes","c(""UK"", ""Ficus carica"", ""Mulberry"", ""Eucalyptus"", ""Plum"")"
"29","4408","4441","Mulberry_734",2018-05-22,0,0,1,0,2,"yes","c(""Mulberry"", ""UK"", ""Ficus carica"")"
"30","4448","4441","Mulberry_734",2018-05-25,0,0,1,0,6,"yes","c(""Mulberry"", ""UK"")"
"31","4445","4442","None",2018-04-19,0,0.5,2,0,13,"yes","c(""UK"", ""Palm"", ""Mulberry"", ""Ficus carica"", ""Loquat"", ""Melia azedarach"", ""Washingtonia"", ""Carob"", ""Annona"", ""Banana"", ""Cherry plum"", ""Ficus sycomorus"")"
"32","4444","4442","None",2018-04-21,0.09,0,2,1,11,"yes","c(""Ficus carica"", ""Citrus"", ""Carob"", ""Annona"", ""Washingtonia"", ""Melia azedarach"", ""UK"", ""Mulberry"", ""Loquat"", ""Palm"")"
"33","4442","4444","None",2018-04-21,0,1,2,0,7,"yes","c(""Mulberry"", ""Ficus carica"", ""UK"", ""Washingtonia"", ""Ficus benjamina"", ""Loquat"", ""Palm"", ""Cherry plum"", ""Melia azedarach"")"
