"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"1","4419","4408","None",2018-05-21,0,1,1,0,3,"yes"
"2","4448","4408","Mulberry_734",2018-05-25,0,0,1,0,2,"yes"
"3","4424","4419","None",2018-05-06,0,0.67,3,0,6,"yes"
"4","4453","4419","None",2018-05-11,0,1,1,0,2,"yes"
"5","4408","4419","None",2018-05-21,0,0,1,0,2,"yes"
"6","4448","4419","None",2018-05-25,0,0,1,0,2,"yes"
"7","4440","4424","None",2018-05-04,0,1,5,0,3,"yes"
"8","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,5,"yes"
"9","4455","4432","Mulberry_655",2018-06-11,0,1,1,0,2,"yes"
"10","4419","4435","None",2018-05-21,0,1,1,0,3,"yes"
"11","4455","4439","Mulberry_655",2018-06-07,0,0,1,0,2,"yes"
"12","4445","4440","None",2018-04-19,0,0.75,4,0,7,"yes"
"13","4444","4440","None",2018-04-18,0,0.83,6,0,3,"yes"
"14","4424","4440","None",2018-05-04,0,0,5,0,2,"yes"
"15","4419","4440","None",2018-05-11,0,0,1,0,2,"yes"
"16","4448","4441","Mulberry_734",2018-05-25,0,0,1,0,2,"yes"
"17","4445","4442","None",2018-04-19,0,0.5,2,0,7,"yes"
"18","4444","4442","None",2018-04-21,0,0,2,0,3,"yes"
"19","4442","4444","None",2018-04-21,0,1,2,0,7,"yes"
"20","4445","4444","None",2018-04-19,0,0.5,8,0,7,"yes"
"21","4442","4445","None",2018-04-19,0.17,0.5,2,1,6,"yes"
"22","4440","4445","None",2018-04-19,0,0.25,4,0,3,"yes"
"23","4455","4446","Mulberry_655",2018-06-07,0,0,1,0,2,"yes"
"24","4440","4449","None",2018-05-05,0,1,3,0,5,"yes"
"25","4424","4449","Mulberry_706",2018-05-09,0,1,2,0,6,"yes"
"26","4452","4449","Mulberry_734",2018-05-10,0,0,1,0,5,"yes"
"27","4449","4452","Mulberry_734",2018-05-10,0,1,1,0,7,"yes"
"28","4440","4453","None",2018-05-04,0,1,1,0,3,"yes"
"29","4419","4453","None",2018-05-11,0,0,1,0,2,"yes"
"30","4440","4454","None",2018-05-04,0,1,2,0,3,"yes"
