"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n+shared_new_trees","A_future_trees","min_nights"
"86","5018","5016","unknown_331",2018-06-28,0,0.8,5,0,15,"yes"
"87","5013","5016","Ficus religiosa_17",2018-06-29,0.04,0.5,6,1,25,"yes"
"88","5021","5016","Ficus religiosa_19",2018-07-01,0,1,2,0,12,"yes"
"89","5015","5016","None",2018-07-01,0,0.5,2,0,10,"yes"
"90","5019","5016","Ficus religiosa_17",2018-06-29,0.12,0.5,4,2,16,"yes"
"91","4978","5017","None",2018-06-30,0,0,1,0,11,"no"
"92","5022","5017","None",2018-06-29,0,1,1,0,13,"no"
"93","5018","5017","unknown_331",2018-06-28,0,0.33,3,0,15,"no"
"94","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,20,"no"
"95","5016","5017","unknown_331",2018-06-28,0.05,0,3,1,21,"no"
"96","5015","5017","None",2018-06-29,0,1,1,0,12,"no"
"97","5019","5017","Mulberry_350",2018-06-28,0.07,0.25,4,1,15,"no"
"98","4978","5018","unknown_94",2018-06-28,0.05,0.5,2,1,19,"yes"
"99","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,11,"yes"
"100","5022","5018","Ficus religiosa_19",2018-06-28,0,0.86,7,0,16,"yes"
"101","5011","5018","None",2018-07-03,0,0,1,0,4,"yes"
"102","5013","5018","unknown_331",2018-06-28,0.05,0.2,5,1,20,"yes"
"103","5016","5018","unknown_331",2018-06-28,0.05,0.2,5,1,21,"yes"
"104","5021","5018","Ficus religiosa_19",2018-06-28,0,0.67,3,0,17,"yes"
"105","5015","5018","Mulberry_768",2018-06-29,0,0.75,4,0,12,"yes"
"106","5019","5018","unknown_331",2018-06-30,0,0.67,6,0,8,"yes"
"107","4978","5019","None",2018-06-30,0,0,1,0,11,"yes"
"108","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,11,"yes"
"109","5022","5019","Ficus religiosa_19",2018-06-28,0,0.8,5,0,16,"yes"
"110","5018","5019","unknown_331",2018-06-30,0.25,0.33,6,3,12,"yes"
