"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"138","5778","5667","unknown_91",2019-11-20,0,0.5,4,0,1,"yes","c(""Palm"", ""Ficus religiosa"")"
"139","5744","5667","unknown_3641",2019-11-06,0,0.36,11,0,2,"yes","Ficus religiosa"
"140","5764","5685","None",2019-09-24,0,0.8,10,0,1,"yes","Ficus religiosa"
"141","5751","5685","None",2019-09-24,0,0.83,6,0,3,"yes","c(""Palm"", ""Ficus religiosa"")"
"142","5745","5685","None",2019-09-24,0,0.36,11,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"143","5743","5685","None",2019-09-24,0,0.45,11,0,2,"yes","c(""Ficus religiosa"", ""Carob"")"
"144","5703","5700","None",2019-04-10,0,1,3,0,1,"yes","Palm"
"145","5747","5700","Citrus_2",2019-04-12,0,1,2,0,1,"yes","Carob"
"146","5733","5703","None",2019-03-27,0,1,2,0,1,"yes","Carob"
"147","5782","5703","unknown_462",2019-03-28,0,1,2,0,1,"yes","Carob"
"148","5737","5720","None",2019-06-30,1,0,2,1,1,"yes","Ficus religiosa"
"149","5782","5728","Citrus_2",2019-03-27,0,0,2,0,1,"yes","Carob"
"150","5759","5728","unknown_241",2019-04-13,0,0.33,3,0,1,"yes","Palm"
"151","5731","5733","None",2019-03-14,0,0.83,6,0,1,"yes","c(""Palm"", ""Carob"")"
"152","5769","5733","Ficus carica_715",2019-04-04,0,0.5,6,0,1,"yes","Ficus religiosa"
"153","5782","5734","Citrus_2",2019-03-27,0,0.25,4,0,1,"yes","Carob"
"154","5759","5734","unknown_241",2019-04-13,0,0.33,3,0,1,"yes","Palm"
"155","6125","5737","None",2019-06-30,0,0,1,0,1,"yes","Palm"
"156","6123","5737","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"157","5731","5738","None",2019-03-15,0,0,2,0,1,"yes","c(""Carob"", ""Palm"")"
"158","6125","5739","None",2019-06-30,0,0,1,0,1,"yes","Palm"
"159","6123","5739","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
