"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,2,"yes","c(""Carob"", ""Palm"")"
"2","4445","4440","None",2018-04-19,0,0.75,4,0,3,"yes","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"3","4445","4442","None",2018-04-19,0,0.5,2,0,3,"yes","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"4","4444","4442","None",2018-04-21,0.5,0,2,1,2,"no","c(""Carob"", ""Palm"")"
"5","4445","4444","None",2018-04-19,0,0.5,8,0,3,"yes","c(""Palm"", ""Carob"", ""Ficus sycomorus"")"
"6","4442","4445","None",2018-04-19,0,0.5,2,0,1,"no","Palm"
"7","4444","4445","None",2018-04-19,0.33,0.5,8,1,3,"yes","c(""Carob"", ""Palm"")"
"8","4577","4576","None",2018-03-17,0,0,2,0,5,"yes","Palm"
"9","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"10","5022","5013","Ficus religiosa_19",2018-06-30,1,1,4,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"11","5018","5013","unknown_331",2018-06-28,0,0.8,5,0,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"12","5016","5013","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","Ficus religiosa"
"13","5018","5015","Mulberry_768",2018-06-29,0.5,0.25,4,1,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"14","5013","5015","None",2018-06-29,1,0.6,5,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"15","5016","5015","None",2018-07-01,0,0.5,2,0,1,"yes","Ficus religiosa"
"16","5017","5016","unknown_331",2018-06-28,0,1,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"17","5018","5016","unknown_331",2018-06-28,0,0.8,5,0,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"18","5013","5016","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"19","5022","5017","None",2018-06-29,0,1,1,0,1,"no","c(""Ficus religiosa"", ""Carob"")"
"20","5018","5017","unknown_331",2018-06-28,0,0.33,3,0,2,"no","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"21","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,2,"no","c(""Ficus religiosa"", ""Carob"")"
"22","5016","5017","unknown_331",2018-06-28,0,0,3,0,2,"no","Ficus religiosa"
"23","5019","5017","Mulberry_350",2018-06-28,0.5,0.25,4,1,2,"no","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"24","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"25","5013","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Carob"")"
"26","5016","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"yes","Ficus religiosa"
"27","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"28","5018","5019","unknown_331",2018-06-30,0.5,0.33,6,1,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"29","5013","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"30","5016","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","Ficus religiosa"
"31","5018","5021","Ficus religiosa_19",2018-06-28,0,0.33,3,0,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"32","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,1,"yes","Ficus religiosa"
"33","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"34","5018","5022","Ficus religiosa_19",2018-06-28,0.5,0.14,7,1,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"35","5016","5022","unknown_1091",2018-06-28,0.5,0,3,1,2,"yes","Ficus religiosa"
"36","5019","5022","Ficus religiosa_19",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"37","5462","5056","Melia azedarach_437",2018-11-25,0,0.67,3,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"38","5471","5056","None",2018-11-25,0,0.5,2,0,4,"yes","c(""Palm"", ""Carob"")"
"39","5473","5056","None",2018-11-23,0.5,0.6,5,1,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"40","5486","5056","None",2018-11-29,0,0.75,4,0,1,"yes","Palm"
"41","5483","5056","None",2018-11-25,0,0.75,4,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"42","5425","5056","Melia azedarach_437",2018-11-25,0,0.5,2,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"43","5589","5056","Melia azedarach_437",2018-11-25,0,0.33,9,0,1,"yes","Palm"
"44","5150","5154","None",2018-07-20,1,0,4,1,1,"yes","Ficus sycomorus"
"45","5462","5425","Melia azedarach_437",2018-11-25,0,0.75,4,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"46","5473","5425","None",2018-11-25,0,1,7,0,3,"yes","c(""Ficus religiosa"", ""Palm"")"
"47","5597","5425","None",2018-11-25,0,1,2,0,1,"yes","Palm"
"48","5486","5425","None",2018-12-09,0,0,1,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"49","5056","5425","Melia azedarach_437",2018-11-25,0,0.5,2,0,2,"yes","Palm"
