"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,2,"yes","c(""Carob"", ""Palm"")"
"2","4445","4440","None",2018-04-19,0,0.75,4,0,1,"yes","c(""Palm"", ""Carob"")"
"3","4445","4442","None",2018-04-19,0,0.5,2,0,1,"yes","c(""Palm"", ""Carob"")"
"4","4445","4444","None",2018-04-19,0,0.5,8,0,1,"yes","c(""Palm"", ""Carob"")"
"5","4442","4445","None",2018-04-19,0,0.5,2,0,1,"yes","Palm"
"6","4577","4576","None",2018-03-17,0,0,2,0,1,"yes","Palm"
"7","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"8","5022","5013","Ficus religiosa_19",2018-06-30,1,1,4,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"9","5013","5015","None",2018-06-29,1,0.6,5,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"10","5016","5015","None",2018-07-01,0,0.5,2,0,1,"yes","Ficus religiosa"
"11","5017","5016","unknown_331",2018-06-28,0,1,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"12","5013","5016","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"13","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"14","5016","5017","unknown_331",2018-06-28,0,0,3,0,1,"yes","Ficus religiosa"
"15","5019","5017","Mulberry_350",2018-06-28,0.5,0.25,4,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"16","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"17","5013","5018","unknown_331",2018-06-28,0,0.2,5,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"18","5016","5018","unknown_331",2018-06-28,0,0.2,5,0,1,"yes","Ficus religiosa"
"19","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"20","5013","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"21","5016","5021","Ficus religiosa_19",2018-07-01,0,0,2,0,1,"yes","Ficus religiosa"
"22","5019","5021","Ficus religiosa_19",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"23","5016","5022","unknown_1091",2018-06-28,0,0,3,0,1,"yes","Ficus religiosa"
"24","5019","5022","Ficus religiosa_19",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"25","5486","5056","None",2018-11-29,0,0.75,4,0,1,"yes","Palm"
