"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"1","4444","4429","Mulberry_755",2018-04-25,0,0,1,0,2,"yes","c(""Carob"", ""Palm"")"
"2","4445","4440","None",2018-04-19,0,0.75,4,0,2,"yes","c(""Palm"", ""Carob"")"
"3","4445","4442","None",2018-04-19,0,0.5,2,0,2,"yes","c(""Palm"", ""Carob"")"
"4","4444","4442","None",2018-04-21,0.5,0,2,1,2,"yes","c(""Carob"", ""Palm"")"
"5","4445","4444","None",2018-04-19,0,0.5,8,0,2,"yes","c(""Palm"", ""Carob"")"
"6","4442","4445","None",2018-04-19,0,0.5,2,0,1,"yes","Palm"
"7","4444","4445","None",2018-04-19,0,0.5,8,0,1,"yes","Carob"
"8","4577","4576","None",2018-03-17,0,0,2,0,2,"yes","Palm"
"9","5017","5013","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"10","5022","5013","Ficus religiosa_19",2018-06-30,1,1,4,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"11","5016","5013","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","Ficus religiosa"
"12","5013","5015","None",2018-06-29,1,0.6,5,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"13","5016","5015","None",2018-07-01,0,0.5,2,0,1,"yes","Ficus religiosa"
"14","5017","5016","unknown_331",2018-06-28,0,1,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"15","5013","5016","Ficus religiosa_17",2018-06-29,0,0.5,6,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"16","5022","5017","None",2018-06-29,0,1,1,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"17","5013","5017","unknown_331",2018-06-28,0,0.5,2,0,2,"yes","c(""Ficus religiosa"", ""Carob"")"
"18","5016","5017","unknown_331",2018-06-28,0,0,3,0,1,"yes","Ficus religiosa"
"19","5019","5017","Mulberry_350",2018-06-28,0.5,0.25,4,1,2,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"20","5017","5018","unknown_331",2018-06-28,0,0.67,3,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"21","5013","5018","unknown_331",2018-06-28,0.5,0.2,5,1,2,"yes","c(""Ficus religiosa"", ""Carob"")"
"22","5016","5018","unknown_331",2018-06-28,0,0.2,5,0,1,"yes","Ficus religiosa"
"23","5017","5019","Mulberry_350",2018-06-28,0,0.75,4,0,2,"yes","c(""Ficus religiosa"", ""Ficus"", ""Ficus sycomorus"")"
"24","5018","5019","unknown_331",2018-06-30,0.5,0.33,6,1,2,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus sycomorus"")"
"25","5013","5019","Ficus religiosa_17",2018-06-29,1,0.5,4,1,1,"yes","c(""Ficus religiosa"", ""Carob"")"
