"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"187","5779","5727","Ficus microcarpa_37",2019-06-09,0,0.67,3,0,1,"yes","c(""Ficus microcarpa"", ""Ficus religiosa"")"
"188","5782","5728","Citrus_2",2019-03-27,0,0,2,0,1,"yes","Carob"
"189","5703","5728","Citrus_2",2019-03-28,0,0,2,0,1,"yes","Palm"
"190","5759","5728","unknown_241",2019-04-13,0,0.33,3,0,1,"yes","Palm"
"191","5733","5731","None",2019-03-14,0,0.17,6,0,1,"no","Palm"
"192","5731","5733","None",2019-03-14,0,0.83,6,0,1,"yes","c(""Palm"", ""Carob"")"
"193","5738","5733","None",2019-04-02,0,1,1,0,1,"yes","Carob"
"194","5769","5733","Ficus carica_715",2019-04-04,0,0.5,6,0,1,"yes","Ficus religiosa"
"195","5703","5733","None",2019-03-27,0,0,2,0,1,"no","Palm"
"196","5782","5734","Citrus_2",2019-03-27,0,0.25,4,0,1,"yes","Carob"
"197","5703","5734","Citrus_2",2019-03-28,0,0.5,4,0,1,"yes","Palm"
"198","5764","5734","Citrus_5",2019-04-20,0,1,1,0,1,"yes","Palm"
"199","5759","5734","unknown_241",2019-04-13,0,0.33,3,0,1,"yes","Palm"
"200","6125","5737","None",2019-06-30,0,0,1,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"201","6123","5737","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"202","5742","5737","Mulberry_655",2019-06-28,0,1,1,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"203","5731","5738","None",2019-03-15,0,0,2,0,1,"yes","c(""Carob"", ""Palm"")"
"204","6125","5739","None",2019-06-30,0,0,1,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"205","6123","5739","None",2019-07-12,0,0,1,0,1,"yes","Ficus religiosa"
"206","5742","5739","None",2019-06-26,0,0,1,0,1,"yes","Ficus religiosa"
"207","5737","5739","None",2019-06-28,0,0,2,0,1,"yes","Ficus religiosa"
"208","6125","5741","None",2019-06-30,0,0,1,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"209","5742","5741","Mulberry_655",2019-06-26,0,0.33,3,0,1,"yes","Ficus religiosa"
"210","5737","5741","Mulberry_655",2019-06-28,0,0.5,2,0,1,"yes","Ficus religiosa"
"211","5748","5741","None",2019-09-06,0,0,1,0,2,"yes","c(""Carob"", ""Palm"")"
"212","5599","5741","None",2019-09-26,0,0,1,0,1,"yes","Palm"
"213","6125","5742","None",2019-06-26,0,0.67,6,0,1,"yes","c(""Ficus religiosa"", ""Palm"")"
"214","5737","5742","Mulberry_655",2019-06-28,0,0,1,0,1,"yes","Ficus religiosa"
"215","5751","5743","None",2019-10-02,0,1,4,0,4,"yes","c(""Palm"", ""Carob"")"
"216","5745","5743","None",2019-09-26,0,0,3,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"217","5685","5743","None",2019-09-24,0,0.55,11,0,4,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"218","5771","5744","None",2019-11-06,0,0.5,2,0,2,"yes","c(""Carob"", ""Ficus sycomorus"")"
"219","6026","5744","None",2019-11-08,0.2,0.8,5,1,5,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"", ""Ficus sycomorus"")"
"220","5662","5744","unknown_3641",2019-11-16,0,0.5,4,0,1,"yes","Palm"
"221","5667","5744","unknown_3641",2019-11-06,0,0.64,11,0,1,"yes","Ficus religiosa"
"222","6265","5744","Washingtonia_434",2019-12-03,0,0.6,5,0,2,"yes","Carob"
"223","5778","5744","None",2019-11-09,0.25,0.33,9,1,4,"yes","c(""Palm"", ""Ficus religiosa"")"
"224","6240","5744","None",2019-12-03,0,1,1,0,1,"yes","Palm"
"225","5751","5745","None",2019-08-29,0,0.8,15,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"226","5685","5745","None",2019-09-24,0,0.64,11,0,4,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"227","5770","5745","None",2019-11-07,0,0,2,0,1,"yes","c(""Palm"", ""Carob"")"
"228","6026","5745","None",2019-11-06,0,0.6,5,0,3,"yes","c(""Carob"", ""Ficus sycomorus"", ""Palm"", ""Ficus religiosa"")"
"229","6242","5745","None",2019-11-06,0,0,4,0,3,"yes","c(""Carob"", ""Palm"")"
"230","5662","5745","None",2019-11-06,0,0,4,0,1,"yes","Carob"
"231","5667","5745","None",2019-11-06,0,0.62,8,0,1,"yes","Ficus religiosa"
"232","6265","5745","None",2019-11-06,0,0,4,0,1,"yes","Palm"
"233","5761","5745","unknown_3242",2019-12-09,0,0.17,6,0,1,"yes","Ficus religiosa"
"234","5778","5745","Mulberry_562",2019-12-16,0,0.18,11,0,1,"yes","Palm"
"235","5744","5745","Ficus religiosa_21",2019-11-21,0,0.17,12,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"236","5731","5746","None",2019-03-16,0,0,1,0,1,"no","Palm"
"237","5782","5747","Citrus_2",2019-03-27,0,0.5,2,0,1,"yes","Carob"
"238","5703","5747","Citrus_2",2019-03-28,0,0.5,2,0,1,"yes","Palm"
"239","5764","5748","Mulberry_755",2019-09-07,0,0.6,5,0,1,"yes","Ficus religiosa"
"240","5745","5748","None",2019-09-26,0,0,4,0,2,"yes","c(""Ficus religiosa"", ""Palm"")"
"241","5685","5748","Mulberry_378",2019-09-25,0.67,0,5,2,3,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"242","6181","5749","Loquat_443",2019-11-06,0,0.25,4,0,2,"no","c(""Palm"", ""Ficus religiosa"")"
"243","5781","5749","Loquat_443",2019-11-06,0,0.5,4,0,3,"no","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"")"
"244","6267","5749","None",2019-11-08,0,0,2,0,1,"no","Ficus microcarpa"
"245","6265","5749","None",2019-11-18,0,0,2,0,2,"no","c(""Ficus religiosa"", ""Palm"")"
"246","5748","5751","None",2019-09-09,0,0.8,5,0,1,"yes","c(""Carob"", ""Palm"")"
"247","5743","5751","None",2019-10-02,0,0,4,0,1,"yes","c(""Ficus religiosa"", ""Carob"")"
"248","5685","5751","None",2019-09-24,0,0.17,6,0,4,"yes","c(""Palm"", ""Ficus religiosa"", ""Carob"")"
"249","5770","5751","None",2019-11-07,0,0,2,0,1,"yes","c(""Palm"", ""Carob"")"
"250","5771","5751","None",2019-11-06,0,0,2,0,2,"yes","c(""Carob"", ""Ficus sycomorus"")"
"251","6026","5751","None",2019-11-06,0,0.14,7,0,3,"yes","c(""Carob"", ""Ficus sycomorus"", ""Palm"", ""Ficus religiosa"")"
"252","6242","5751","unknown_642",2019-11-09,0,0,3,0,2,"yes","Carob"
"253","5662","5751","None",2019-11-06,0,0,2,0,1,"yes","Carob"
"254","5667","5751","None",2019-11-07,0,0.14,7,0,1,"yes","Ficus religiosa"
"255","6265","5751","unknown_641",2019-11-06,1,0,5,1,1,"yes","Palm"
"256","5778","5751","Ficus carica_673",2019-11-06,0.25,0.29,14,1,4,"yes","Palm"
"257","6246","5751","unknown_642",2019-11-10,0,0,10,0,6,"yes","c(""Ficus religiosa"", ""Palm"", ""Ficus microcarpa"")"
"258","6240","5751","None",2019-12-14,0,0,1,0,2,"yes","Carob"
"259","5734","5759","unknown_241",2019-04-13,0,0.67,3,0,2,"no","c(""Palm"", ""Carob"")"
"260","5777","5760","Washingtonia_428",2019-06-03,0,0.67,3,0,3,"yes","c(""Ficus microcarpa"", ""Ficus sycomorus"")"
"261","6125","5760","None",2019-06-30,0,0,1,0,2,"yes","c(""Palm"", ""Ficus religiosa"")"
"262","6123","5760","unknown_3311",2019-07-12,0,0,2,0,1,"yes","Ficus religiosa"
"263","5742","5760","Mulberry_655",2019-06-26,0,0,2,0,1,"yes","Ficus religiosa"
"264","5737","5760","Mulberry_655",2019-06-28,0,0,2,0,1,"yes","Ficus religiosa"
"265","5751","5761","None",2019-11-07,0,1,5,0,1,"yes","Palm"
"266","5745","5761","unknown_3242",2019-12-09,0,0.83,6,0,3,"yes","c(""Ficus religiosa"", ""Carob"")"
"267","5770","5761","None",2019-11-07,0,0.75,4,0,1,"yes","c(""Palm"", ""Carob"")"
"268","6181","5761","None",2019-11-10,0,0,1,0,1,"yes","Ficus religiosa"
"269","5781","5761","None",2019-11-08,0,1,2,0,3,"yes","c(""Ficus sycomorus"", ""Ficus religiosa"", ""Palm"", ""Ficus microcarpa"")"
"270","6242","5761","unknown_641",2019-11-07,0,1,3,0,1,"yes","c(""Carob"", ""Palm"")"
"271","5667","5761","None",2019-12-06,0,0,1,0,1,"yes","Palm"
"272","6267","5761","unknown_3732",2019-11-10,0,0.25,4,0,2,"yes","Ficus microcarpa"
"273","6265","5761","unknown_1435",2019-11-16,0,0.33,9,0,2,"yes","Ficus religiosa"
