"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"139","6651","6641","Mulberry_655",2020-06-17,0,1,4,0,1,"yes","Ficus religiosa"
"140","6638","6641","Mulberry_655",2020-06-16,0,1,1,0,1,"yes","Ficus religiosa"
"141","6652","6641","Ficus carica_736",2020-06-24,0,0,1,0,2,"yes","Ficus microcarpa"
"142","6428","6644","Mulberry_655",2020-06-16,0,1,1,0,1,"yes","Ficus microcarpa"
"143","6646","6644","Mulberry_655",2020-06-17,0,0,1,0,1,"yes","c(""Ficus microcarpa"", ""Ficus sycomorus"")"
"144","6651","6644","Mulberry_706",2020-06-16,0,0.33,9,0,1,"yes","Ficus religiosa"
"145","6638","6644","Mulberry_655",2020-06-17,0,1,1,0,1,"yes","Ficus religiosa"
"146","6652","6644","None",2020-06-24,0,0,1,0,2,"yes","Ficus microcarpa"
"147","6428","6645","Mulberry_655",2020-06-16,0,1,2,0,1,"yes","Ficus microcarpa"
"148","6646","6645","Mulberry_655",2020-06-17,0,0,1,0,1,"yes","c(""Ficus microcarpa"", ""Ficus sycomorus"")"
"149","6651","6645","Mulberry_655",2020-06-16,0,0.5,2,0,1,"yes","Ficus religiosa"
"150","6638","6645","Mulberry_655",2020-06-16,0,0,1,0,1,"yes","Ficus religiosa"
"151","6651","6646","Mulberry_655",2020-06-17,0,0.5,2,0,1,"yes","Ficus religiosa"
"152","6638","6646","Mulberry_655",2020-06-16,0,0.33,3,0,1,"yes","Ficus religiosa"
"153","6428","6651","Mulberry_655",2020-06-16,0,1,2,0,1,"yes","Ficus microcarpa"
"154","6646","6651","Mulberry_655",2020-06-17,0,0.5,2,0,1,"yes","c(""Ficus microcarpa"", ""Ficus sycomorus"")"
"155","6638","6651","Mulberry_655",2020-06-17,0,1,1,0,1,"yes","Ficus religiosa"
"156","6641","6652","Ficus carica_736",2020-06-24,0,1,1,0,1,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"157","6638","6652","Mulberry_701",2020-06-23,0,0.5,2,0,1,"yes","Ficus religiosa"
"158","6641","6654","None",2020-06-23,0,1,1,0,1,"yes","Ficus religiosa"
"159","6651","6654","Mulberry_655",2020-06-23,0,1,1,0,3,"yes","c(""Ficus religiosa"", ""Ficus microcarpa"")"
"160","6635","6654","None",2020-06-22,0,1,2,0,1,"yes","Ficus religiosa"
"161","6638","6654","Mulberry_655",2020-06-23,0,1,3,0,1,"yes","Ficus religiosa"
"162","6644","6654","Mulberry_655",2020-06-23,0,1,1,0,1,"yes","Ficus microcarpa"
"163","6652","6654","Mulberry_701",2020-06-23,0,1,1,0,2,"yes","Ficus microcarpa"
"164","6974","6824","None",2020-08-25,0,0.33,9,0,1,"yes","Ficus religiosa"
"165","6976","6824","unknown_461",2020-09-28,0,0.35,23,0,1,"yes","Ficus religiosa"
"166","6974","6828","None",2020-08-25,1,0.33,3,1,1,"yes","Ficus religiosa"
"167","6828","6974","None",2020-08-25,0,0.67,3,0,1,"yes","c(""Ficus religiosa"", ""Ficus sycomorus"")"
"168","6974","6976","None",2020-08-25,0,0.77,13,0,1,"yes","Ficus religiosa"
"169","6996","6976","None",2020-11-18,0,0,13,0,1,"yes","Ficus religiosa"
"170","7023","6989","None",2020-11-25,0,0.67,3,0,1,"yes","Ficus religiosa"
"171","6989","6993","Mulberry_655",2020-12-17,0,0.5,2,0,1,"yes","Ficus sycomorus"
"172","6996","6995","None",2020-11-19,1,0.5,4,1,1,"yes","Ficus religiosa"
"173","6995","6996","None",2020-11-19,0,0.5,4,0,1,"yes","Ficus religiosa"
"174","7023","6996","None",2020-11-23,0,0.67,3,0,1,"yes","Ficus religiosa"
"175","7079","7008","None",2020-11-17,0,0.75,4,0,1,"yes","Ficus"
"176","6989","7008","Mulberry_718",2020-12-17,0,0,5,0,1,"yes","Ficus sycomorus"
"177","7079","7085","unknown_1438",2020-11-17,0,0.33,6,0,1,"yes","Ficus"
"178","7008","7085","None",2020-12-28,0,0,5,0,1,"yes","Ficus sycomorus"
