"","TAGA","TAGB","MeetingTree","MeetingDate","prop_A_vis_B","prop_A_first","n_shared_trees","n_shared_new_trees","A_future_trees","min_nights","A_future_species"
"148","5154","5153","Ficus carica_804",2018-07-19,0,0.86,7,0,12,"yes","c(""Ficus carica"", ""Ficus sycomorus"", ""Loquat"", ""Surinam Cherry"", ""Mulberry"", ""Apple"", ""UK"", ""Melia azedarach"", ""Citrus"")"
"149","5150","5153","None",2018-07-25,0,1,2,0,9,"yes","c(""Mulberry"", ""UK"", ""Avocado"", ""Ficus carica"", ""Banana"")"
"150","5153","5154","Ficus carica_804",2018-07-19,0.08,0.14,7,2,25,"yes","c(""Ficus carica"", ""Melia azedarach"", ""UK"", ""Mulberry"", ""Loquat"", ""Citrus"", ""Surinam Cherry"", ""Ficus sycomorus"", ""Ziziphus spina-christi"")"
"151","5150","5154","None",2018-07-20,0.23,0,4,3,13,"no","c(""UK"", ""Mulberry"", ""Ficus carica"", ""Ficus sycomorus"", ""Apple"", ""Surinam Cherry"", ""Melia azedarach"", ""Kedesh"")"
"152","5150","5157","None",2018-07-24,0.09,0,2,1,11,"yes","c(""Mulberry"", ""UK"", ""Avocado"", ""Ficus carica"", ""Banana"")"
"153","5462","5425","Melia azedarach_437",2018-11-25,0,0.75,4,0,30,"yes","c(""Plum"", ""Melia azedarach"", ""Ficus religiosa"", ""Ficus carica"", ""Mulberry"", ""Persimmon"", ""UK"", ""Har Gershom"", ""Washingtonia"", ""Carob"")"
"154","5473","5425","None",2018-11-25,0,1,7,0,37,"yes","c(""Ficus carica"", ""Mulberry"", ""UK"", ""Plum"", ""Ficus religiosa"", ""Washingtonia"", ""Melia azedarach"", ""Peach"", ""Loquat"", ""Palm"")"
"155","5597","5425","None",2018-11-25,0.02,1,2,1,47,"yes","c(""Plum"", ""UK"", ""Persimmon"", ""Mulberry"", ""Ficus carica"", ""Loquat"", ""Palm"", ""Citrus"", ""Melia azedarach"", ""Ficus religiosa"", ""Ficus sycomorus"")"
"156","5486","5425","None",2018-12-09,0,0,1,0,12,"yes","c(""Plum"", ""Ficus carica"", ""Ficus religiosa"", ""Washingtonia"", ""UK"", ""Har Gershom"", ""Palm"", ""Einan"", ""Mulberry"")"
"157","5056","5425","Melia azedarach_437",2018-11-25,0,0.5,2,0,10,"yes","c(""UK"", ""Jujube"", ""Melia azedarach"", ""Mulberry"", ""Loquat"", ""Ficus carica"", ""Palm"", ""Plum"")"
"158","5480","5425","None",2018-11-25,0,1,1,0,17,"yes","c(""UK"", ""Ficus religiosa"", ""Washingtonia"", ""Palm"", ""Plum"", ""Melia azedarach"", ""Ficus carica"", ""Mulberry"", ""Loquat"")"
"159","5483","5425","None",2018-11-25,0.06,1,6,2,32,"yes","c(""UK"", ""Mulberry"", ""Plum"", ""Ficus carica"", ""Ficus religiosa"", ""Washingtonia"", ""Palm"", ""Cherry plum"", ""Melia azedarach"")"
"160","5476","5425","Ficus religiosa_19",2018-11-25,0,0.5,6,0,25,"yes","c(""UK"", ""Carob"", ""Ceratonia siliqua"", ""Loquat"", ""Ficus religiosa"", ""Washingtonia"", ""Plum"", ""Mulberry"", ""Palm"", ""Ficus carica"", ""Persimmon"", ""Jujube"", ""Melia azedarach"")"
"161","5589","5425","Melia azedarach_437",2018-11-25,0.1,0.33,3,1,10,"yes","c(""Ficus carica"", ""Melia azedarach"", ""Mulberry"", ""UK"", ""Palm"")"
"162","5431","5429","None",2018-08-25,0,1,1,0,14,"no","c(""Plum"", ""UK"", ""Ficus religiosa"", ""Avocado"", ""Mango"", ""Loquat"", ""Ficus carica"", ""Mulberry"", ""Washingtonia"")"
"163","5429","5431","None",2018-08-25,0,0,1,0,2,"no","c(""Citrus"", ""UK"", ""Plum"")"
"164","5433","5431","None",2018-08-22,0,0.5,2,0,7,"no","c(""UK"", ""Citrus"", ""Plum"")"
"165","5431","5433","None",2018-08-22,0,0.5,2,0,18,"yes","c(""Ficus carica"", ""UK"", ""Ficus religiosa"", ""Loquat"", ""Palm"", ""Citrus"", ""Washingtonia"", ""Plum"", ""Avocado"", ""Mango"", ""Mulberry"")"
"166","5462","5458","None",2018-11-23,0,0.33,3,0,23,"no","c(""Plum"", ""UK"", ""Ficus carica"", ""Washingtonia"", ""Mulberry"", ""Melia azedarach"", ""Palm"", ""Ficus religiosa"", ""Persimmon"", ""Har Gershom"", ""Carob"")"
"167","5473","5458","Washingtonia_333",2018-11-23,0.09,0.4,5,3,32,"no","c(""Ficus carica"", ""Washingtonia"", ""UK"", ""Peach"", ""Mulberry"", ""Loquat"", ""Ficus religiosa"", ""Palm"", ""Persimmon"", ""Melia azedarach"", ""Plum"")"
