TAG,duration,num_loc,position_qlt,dummy,medX,medY,night_number,time_start,time_end,month,X_tree,Y_tree,tree_sp,cluster_ID,TAG_Night,date_global,Number_of_Nights,cave_origin
5150,25,636,0.852590918,no,256116.5954,785285.7165,3,21:45:16,22:10:08,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5150,9,178,0.674276904,no,256062.2826,785263.4184,3,20:55:32,21:04:20,7,256031,785277,Melia azedarach,Melia azedarach_438,5150_3,2018-07-20,18,
5150,14,215,0.516853635,no,256057.391,785233.2744,3,19:23:02,19:36:54,7,256032,785251,Ficus carica,Ficus carica_512,5150_3,2018-07-20,18,
5150,16,331,0.668721993,no,256045.6229,785223.7464,3,19:37:56,19:54:26,7,256032,785251,Ficus carica,Ficus carica_512,5150_3,2018-07-20,18,
5150,10,205,0.663464775,no,256094.8185,785282.9799,3,20:32:28,20:42:46,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5150,1,36,0.878091614,no,256152.8999,785312.5508,3,19:08:56,19:10:18,7,256164,785283,Apple,Apple_33,5150_3,2018-07-20,18,
5153,1,8,0.28572449,no,256090.2792,785250.1949,3,20:16:18,20:17:14,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_3,2018-07-20,13,Einan
5153,0,7,0.466682223,no,256102.6794,785245.1393,3,19:24:46,19:25:16,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_3,2018-07-20,13,Einan
5150,1,22,0.594618701,no,256190.0338,785308.6009,3,23:01:00,23:02:14,7,256164,785283,Apple,Apple_33,5150_3,2018-07-20,18,
5150,5,74,0.510371226,no,256018.312,785239.9047,3,20:45:56,20:50:46,7,256015,785234,Mulberry,Mulberry_505,5150_3,2018-07-20,18,
5150,6,44,0.263486465,no,256062.1482,785267.5605,3,23:20:58,23:26:32,7,256032,785251,Ficus carica,Ficus carica_512,5150_3,2018-07-20,18,
5150,1,30,0.731743012,no,256015.7466,785246.3086,3,23:44:20,23:45:42,7,256015,785234,Mulberry,Mulberry_505,5150_3,2018-07-20,18,
5150,6,74,0.440498478,no,256159.0421,785332.6202,3,20:11:58,20:17:34,7,256175,785355,Mulberry,Mulberry_498,5150_3,2018-07-20,18,
5150,1,24,1.000041668,no,256055.2868,785253.509,3,23:31:28,23:32:16,7,256032,785251,Ficus carica,Ficus carica_512,5150_3,2018-07-20,18,
5150,10,194,0.6360979,no,256122.9747,785309.0618,3,20:00:46,20:10:56,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5150,1,24,0.888938274,no,256146.7796,785314.9356,3,19:58:18,19:59:12,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5154,2,33,0.532279527,no,256139.5143,785285.4637,3,20:35:27,20:37:31,7,256164,785283,Apple,Apple_33,5154_3,2018-07-20,15,
5150,17,237,0.476885635,no,256114.9052,785278.4611,3,23:03:18,23:19:52,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5150,1,30,0.909132233,no,256116.8943,785286.7225,3,21:21:34,21:22:40,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5154,10,183,0.607994631,no,256106.444,785253.4056,3,20:23:07,20:33:09,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_3,2018-07-20,15,
5154,0,7,0.538461538,no,256142.5757,785260.1018,3,23:24:33,23:24:59,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_3,2018-07-20,15,
5154,27,327,0.39637757,no,256127.1674,785252.1971,3,23:53:05,00:20:35,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5154_3,2018-07-20,15,
5150,10,250,0.853286004,no,256036.8118,785222.6144,3,21:27:10,21:36:56,7,256015,785234,Mulberry,Mulberry_505,5150_3,2018-07-20,18,
5150,6,156,0.8571876,no,256105.4706,785281.652,3,23:33:22,23:39:26,7,256118,785292,Mulberry,Mulberry_495,5150_3,2018-07-20,18,
5154,3,60,0.625022787,no,256190.5257,785282.1116,3,20:38:41,20:41:53,7,256164,785283,Apple,Apple_33,5154_3,2018-07-20,15,
5154,9,142,0.552548533,no,256178.9164,785291.0034,3,23:32:29,23:41:03,7,256164,785283,Apple,Apple_33,5154_3,2018-07-20,15,
5150,20,323,0.533031447,no,256072.2414,785241.2065,3,00:02:44,00:22:55,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5150_3,2018-07-20,18,
5154,5,81,0.532912267,no,256161.127,785279.1247,3,00:21:49,00:26:53,7,256164,785283,Apple,Apple_33,5154_3,2018-07-20,15,
5153,1,9,0.500013889,no,256083.187,785256.3061,4,19:52:15,19:52:51,7,256109,785255,Ficus sycomorus,Ficus sycomorus_3,5153_4,2018-07-21,13,
