"TAG","duration","num_loc","position_qlt","dummy","night_number","time_start","time_end","month","X_tree","Y_tree","tree_sp","cluster_ID","TAG_Night","date_global","Number_of_Nights","cave_origin","geometry","distance_to_ficus"
5153,11,220,0.681138802,"no",10,"20:49:08","20:59:54",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_10","2018-07-27",13,"Zemer cave",c(256116.8458, 785242.6434),14.6370127144023
5153,19,206,0.370516592,"no",10,"22:09:48","22:28:20",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_10","2018-07-27",13,"Zemer cave",c(256118.075, 785275.7832),22.6781178063351
5153,5,158,1.000034811,"no",11,"23:12:11","23:17:27",7,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5153_11","2018-07-28",13,"Zemer cave",c(256088.1354, 785242.0495),24.557014953185
5728,0,1,Inf,"no",37,"23:40:29","23:40:29",4,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5728_37","2019-04-30",38,"Har Gershom",c(256101.678, 785243.0805),13.9887870899815
5728,3,8,0.421069253,"no",37,"18:51:17","18:53:49",4,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5728_37","2019-04-30",38,"Har Gershom",c(256089.8501, 785264.0968),21.2007179182839
5728,3,6,0.300009375,"no",37,"20:19:17","20:21:57",4,256098,785213,"Melia azedarach","Melia azedarach_439","5728_37","2019-04-30",38,"Har Gershom",c(256089.7876, 785238.3692),25.4106242032936
5728,17,66,0.515643632,"no",37,"22:10:53","22:27:57",4,256098,785213,"Melia azedarach","Melia azedarach_439","5728_37","2019-04-30",38,"Har Gershom",c(256102.0205, 785232.6573),23.4074702507872
5728,9,59,0.83101664,"no",38,"20:41:14","20:50:42",5,256115,785218,"Mulberry","Mulberry_493","5728_38","2019-05-01",38,"Har Gershom",c(256120.7289, 785229.4139),28.1463249540236
5728,0,1,Inf,"no",38,"20:59:14","20:59:14",5,256132,785266,"Surinam Cherry","Surinam Cherry_56","5728_38","2019-05-01",38,"Har Gershom",c(256137.5285, 785260.4716),29.048471884244
5728,1,4,0.44445679,"no",38,"21:47:38","21:48:50",5,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5728_38","2019-05-01",38,"Har Gershom",c(256126.7076, 785241.9821),21.977825601483
5728,5,32,0.914318369,"no",38,"00:07:38","00:12:18",5,256115,785218,"Mulberry","Mulberry_493","5728_38","2019-05-01",38,"Har Gershom",c(256129.2196, 785237.0526),27.0359277798734
5734,1,3,0.333347223,"no",38,"22:08:02","22:09:14",5,256115,785218,"Mulberry","Mulberry_493","5734_38","2019-05-01",38,"Har Gershom",c(256109.0014, 785233.6318),21.3682000458888
5734,4,14,0.482777349,"no",38,"23:11:30","23:15:22",5,256115,785218,"Mulberry","Mulberry_493","5734_38","2019-05-01",38,"Har Gershom",c(256112.6671, 785246.7915),8.99038901600547
5728,3,15,0.681845301,"no",39,"21:17:35","21:20:31",5,256115,785218,"Mulberry","Mulberry_493","5728_39","2019-05-02",38,"Har Gershom",c(256118.2134, 785232.8024),24.0337301582211
5728,1,7,1.16671528,"no",39,"20:19:43","20:20:31",5,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5728_39","2019-05-02",38,"Har Gershom",c(256098.3549, 785237.2441),20.7024186707615
5728,2,11,0.916704863,"no",39,"19:50:23","19:51:59",5,256098,785213,"Melia azedarach","Melia azedarach_439","5728_39","2019-05-02",38,"Har Gershom",c(256094.9359, 785239.6453),20.8222410153292
5728,0,3,1.5,"no",40,"23:19:39","23:19:55",5,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5728_40","2019-05-03",38,"Har Gershom",c(256100.9586, 785261.0564),10.0669804271098
5777,2,13,1.083378474,"no",17,"21:34:09","21:35:45",6,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5777_17","2019-06-07",41,"Einan",c(256098.1276, 785245.8535),14.2080098539671
5777,14,58,0.547189815,"no",17,"21:18:49","21:32:57",6,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5777_17","2019-06-07",41,"Einan",c(256121.009, 785258.6996),12.5659508657387
5777,0,2,0.666694446,"no",32,"19:20:27","19:20:51",6,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5777_32","2019-06-22",41,"Einan",c(256100.3699, 785259.1349),9.56953624893697
5720,4,31,1.000052422,"no",4,"18:28:31","18:32:39",6,256115,785218,"Mulberry","Mulberry_493","5720_4","2019-06-28",8,"",c(256127.3414, 785234.9245),27.1925109949706
5720,16,71,0.606870025,"no",8,"20:48:28","21:04:04",7,256132,785266,"Surinam Cherry","Surinam Cherry_56","5720_8","2019-07-02",8,"Shaked",c(256136.4934, 785250.5826),27.84601347268
5781,10,51,0.680022667,"no",2,"20:01:11","20:11:11",11,256115,785218,"Mulberry","Mulberry_493","5781_2","2019-11-06",14,"",c(256130.4422, 785240.3285),25.981163428361
5749,9,44,0.687520142,"no",2,"23:03:03","23:11:35",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_2","2019-11-06",7,"",c(256138.1711, 785256.0289),29.1892396341609
5749,2,7,0.388899692,"no",2,"18:34:15","18:36:39",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_2","2019-11-06",7,"",c(256130.0505, 785250.0202),21.6315038379265
5749,15,61,0.535102974,"no",2,"20:37:59","20:53:11",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_2","2019-11-06",7,"",c(256121.9252, 785254.3056),12.9438397085253
6246,1,2,0.28572449,"no",2,"00:12:22","00:13:18",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6246_2","2019-11-06",54,"",c(256092.7083, 785252.5086),16.481097137337
5781,5,13,0.333345086,"no",2,"18:06:24","18:11:36",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_2","2019-11-06",14,"",c(256104.3895, 785269.201),14.9306768517076
5749,6,21,0.48838629,"no",2,"22:12:47","22:18:31",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5749_2","2019-11-06",7,"",c(256132.0138, 785240.3283),27.29274209983
5781,25,65,0.343926945,"no",2,"20:55:03","21:20:15",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5781_2","2019-11-06",14,"",c(256118.6757, 785258.0272),10.1382005469375
5749,4,13,0.464298151,"no",2,"18:26:15","18:29:59",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5749_2","2019-11-06",7,"",c(256119.2473, 785257.7074),10.598923155185
6263,0,1,Inf,"no",2,"19:49:14","19:49:14",11,256118,785292,"Mulberry","Mulberry_495","6263_2","2019-11-06",16,"",c(256093.3785, 785279.1715),28.7800742615949
5749,1,6,0.666685186,"no",2,"18:39:59","18:41:11",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5749_2","2019-11-06",7,"",c(256113.9898, 785257.035),5.38881517963229
5781,8,51,0.822608839,"no",2,"19:40:55","19:49:11",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","5781_2","2019-11-06",14,"",c(256129.1411, 785259.067),20.5476129565125
5749,0,2,2,"no",2,"18:38:15","18:38:23",11,256115,785218,"Mulberry","Mulberry_493","5749_2","2019-11-06",7,"",c(256128.6188, 785235.7173),27.5085410868907
6181,2,13,0.928612885,"no",2,"19:04:53","19:06:45",11,256132,785266,"Surinam Cherry","Surinam Cherry_56","6181_2","2019-11-06",12,"",c(256127.1443, 785269.2056),23.0437560707916
6181,18,8,0.05970372,"no",2,"19:35:25","19:53:17",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","6181_2","2019-11-06",12,"",c(256091.9887, 785262.6142),18.6376063197428
5749,8,22,0.360666824,"no",2,"00:43:27","00:51:35",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5749_2","2019-11-06",7,"",c(256120.5688, 785264.2563),14.8160798840429
5749,15,66,0.573929263,"no",2,"21:04:47","21:20:07",11,256109,785255,"Ficus sycomorus","Ficus sycomorus_3","5749_2","2019-11-06",7,"",c(256109.3119, 785254.7703),0.38735474698526
5749,5,25,0.657914215,"no",2,"00:02:23","00:07:27",11,256115,785218,"Mulberry","Mulberry_493","5749_2","2019-11-06",7,"",c(256129.9965, 785238.4895),26.710477766216
